LOCATION,BEDROOMS,BATHROOMS,SIZE_SQM,PRICE_KSH,SATELLITE_TOWN
Ruiru,2,2,220.8459428032914,24362645.0,1
South B,2,2,119.86522789457274,40908494.0,0
Thika,4,1,70.91986891549523,30590710.0,1
Syokimau,2,2,127.38112041160534,28959396.0,1
Kilimani,4,2,86.96796190795791,63802921.0,0
Kilimani,1,3,82.9961934026159,47329094.0,0
Westlands,3,1,145.99104403629255,58871771.0,0
Rongai,3,2,23.776231498206272,17364621.0,1
Syokimau,1,3,33.36426465046637,24949873.0,1
Athi River,2,3,121.15745282243657,26144338.0,1
Westlands,1,3,118.66148766525413,52364491.0,0
South B,3,3,140.61327462239615,31528990.0,0
Rongai,2,4,232.5135233090033,30384679.0,1
Kileleshwa,3,2,126.27084216454926,35818995.0,0
Kilimani,1,2,155.89032902008768,25273280.0,0
Kilimani,1,1,61.468023863122085,47474662.0,0
Ruiru,1,1,166.0762598109922,19449384.0,1
Kitengela,2,1,88.41654809335932,24944343.0,1
Ruiru,2,1,124.28524995486559,29026743.0,1
Kileleshwa,4,1,113.4690824958503,46525881.0,0
Syokimau,3,1,181.97845409484185,30753308.0,1
Kilimani,2,1,41.401406737500025,42243562.0,0
Kileleshwa,5,4,20.0,44314833.0,0
Ruiru,3,1,107.19403817472453,31954882.0,1
Kitengela,4,3,148.11187541430743,40946856.0,1
Ngong,2,1,129.13616254845,26649175.0,1
Kilimani,2,4,193.93225424483467,48307595.0,0
Kitengela,1,3,146.2423604507801,21131199.0,1
Syokimau,3,2,86.16910008840841,30233053.0,1
Westlands,1,2,20.0,48172756.0,0
Syokimau,2,1,105.7612659482869,26238547.0,1
Kilimani,2,4,181.6775401354679,52212370.0,0
Westlands,2,3,96.47713303997313,45026006.0,0
Parklands,3,3,121.69921582066586,46031402.0,0
South B,1,2,145.2816152584025,39926716.0,0
Ngong,2,2,59.082457545011046,25899840.0,1
Ruiru,3,3,157.39415379832906,31085487.0,1
Kilimani,5,1,218.22730740010235,42302141.0,0
Athi River,3,2,109.63119888639562,22801868.0,1
Ruiru,4,1,52.256134690061884,29780568.0,1
Kilimani,3,4,116.00393837868158,67486532.0,0
Kitengela,2,1,20.0,19568972.0,1
Westlands,1,1,140.21419583859696,52933311.0,0
Lavington,3,2,147.13646265891472,44312220.0,0
Kileleshwa,3,3,220.53817763073374,38268980.0,0
Athi River,3,2,108.3603124460025,22412262.0,1
Ruiru,2,1,144.5091202887882,16469711.0,1
Kitengela,2,1,68.32271385684592,29754579.0,1
Kitengela,2,3,98.61437276849529,13810968.0,1
Kilimani,2,4,28.488873800268124,37344187.0,0
South B,1,3,108.31262272300586,24395492.0,0
Thika,3,2,101.68145078888611,20235739.0,1
Parklands,1,4,137.95198596533376,48968632.0,0
Karen,1,2,82.58418718004165,52665181.0,0
Syokimau,2,2,125.00072105850552,22795540.0,1
Lavington,3,2,99.99719666354007,41899463.0,0
Kilimani,2,2,100.11003670202915,36421521.0,0
Kilimani,2,3,124.82173955778181,43855785.0,0
Westlands,2,2,122.43137653902059,50820110.0,0
Ruiru,2,2,165.6704423430983,40385343.0,1
Ruiru,4,1,112.76141795220991,18278979.0,1
Kileleshwa,4,1,99.00687905261981,42651303.0,0
Rongai,2,2,109.15155329476643,21977086.0,1
Ruiru,2,1,77.12015298954046,29561491.0,1
Kileleshwa,3,1,98.40533438599971,44359598.0,0
Kitengela,1,2,241.86952278439387,34205722.0,1
Kilimani,2,2,65.23927435824797,44109750.0,0
Ngong,2,3,103.28061996724144,19659898.0,1
Westlands,4,2,96.75068020381858,63153084.0,0
Embakasi,1,3,105.16970326533603,31031841.0,0
Thika,2,4,100.1256414672963,27218869.0,1
Kilimani,3,3,136.75440607326,58052360.0,0
Westlands,2,2,20.0,47675540.0,0
Ngong,1,2,182.23028835192025,34493804.0,1
Athi River,5,4,157.95496797853184,33769154.0,1
Thika,2,1,45.427704836211916,19383261.0,1
Thika,3,1,20.0,20472923.0,1
Westlands,1,2,61.37567123151593,44356246.0,0
Ruiru,2,1,105.44001231437265,23542910.0,1
Kilimani,2,4,274.8175139214465,68627947.0,0
Rongai,1,2,152.5954178984564,25559678.0,1
Syokimau,1,2,20.0,21907375.0,1
Ruiru,3,2,78.62066970594336,28483531.0,1
Westlands,1,2,116.80725382362101,75553841.0,0
Ruiru,1,1,135.22101325788583,20316997.0,1
Ruiru,2,2,41.11506838137463,19159153.0,1
Thika,3,3,111.90058632137632,18165935.0,1
Syokimau,1,2,76.94165174336756,23214460.0,1
Karen,2,3,53.774486243861006,53177727.0,0
Kitengela,1,1,135.57573880193723,22926229.0,1
Kilimani,1,1,166.43263040656933,39983344.0,0
Athi River,1,1,170.46247661769718,26764287.0,1
Thika,3,2,154.46318106803255,24489366.0,1
Kitengela,1,3,90.15782801158423,24435189.0,1
Thika,1,3,162.87298568781034,30135409.0,1
Kitengela,2,2,138.54326628625728,30573265.0,1
Kitengela,3,2,128.0365129771208,32818201.0,1
Ruiru,2,3,83.2984126978921,30630330.0,1
Westlands,2,1,90.1874323595083,50196769.0,0
Kilimani,1,1,124.43321616747325,41366179.0,0
Westlands,2,4,266.3924680191301,47621022.0,0
Syokimau,2,2,138.0745488054834,26642426.0,1
Ruiru,2,4,83.32868986498283,22530574.0,1
Kitengela,2,2,70.05663330183344,26942105.0,1
Lavington,2,3,90.49400324062783,48682134.0,0
Kileleshwa,1,1,250.63760685294392,52446495.0,0
Ruiru,2,1,96.04460124324228,19814374.0,1
Thika,1,2,174.4122320766171,32442531.0,1
Kileleshwa,3,2,97.44430527171862,37839190.0,0
Westlands,5,1,135.6710724767777,42340991.0,0
Kileleshwa,5,1,167.50471644052334,43669705.0,0
Kilimani,4,1,85.68582901140456,67779408.0,0
Lavington,3,3,81.53330075083383,42964953.0,0
Ngong,3,2,219.53218166731978,29430022.0,1
Syokimau,2,1,179.0755736937478,29764505.0,1
Karen,3,1,167.44033912144369,56151824.0,0
Ngong,2,1,167.23657758737482,23085306.0,1
Kilimani,2,2,147.57452929866392,46678491.0,0
Karen,3,1,241.0665487905039,74794616.0,0
Kitengela,2,3,122.6344981126294,27774309.0,1
Ngong,2,1,154.63574203205516,20791100.0,1
Karen,4,1,32.94522428435924,49021487.0,0
Ruiru,1,3,70.50235880452556,20485321.0,1
Kilimani,2,3,47.95086000989757,40825267.0,0
Kileleshwa,4,1,196.44381501096896,60547213.0,0
Ruiru,3,3,20.0,22800250.0,1
Ngong,2,2,95.86139863483663,23373574.0,1
Rongai,1,3,20.0,23721756.0,1
Westlands,2,2,70.12272627108659,54655927.0,0
Kitengela,4,2,90.54306301608801,30687717.0,1
Ruiru,2,4,203.09226562764263,43355579.0,1
Kileleshwa,2,1,143.79767635328744,46322899.0,0
Kilimani,1,2,70.01150860026202,24108129.0,0
Ruiru,1,2,183.95782318390957,33477041.0,1
Parklands,5,1,121.06993527178545,29685989.0,0
Ruiru,2,1,122.25401152243514,29563717.0,1
Kitengela,3,1,47.83970953368048,15703038.0,1
Athi River,1,2,60.59917716581164,18613054.0,1
Ruiru,3,2,70.49416200326854,24131230.0,1
South B,4,2,122.78767638925137,31419033.0,0
South B,2,1,124.67314361884048,31845161.0,0
Kileleshwa,1,2,212.6455598114427,53246138.0,0
Kitengela,2,4,143.10331007627005,23277663.0,1
Ruiru,3,2,20.0,26062162.0,1
Kileleshwa,2,2,135.75851927230144,33717426.0,0
Westlands,4,3,32.99901862994804,45844021.0,0
Syokimau,3,3,62.04174452330781,28325047.0,1
Kitengela,4,2,71.2698316964202,21269236.0,1
Westlands,3,3,80.1997005892619,35783677.0,0
Kileleshwa,1,2,37.491036477581815,38854545.0,0
Lavington,2,3,132.20892020713725,58304517.0,0
Kileleshwa,1,1,35.35186289454245,34709906.0,0
Kilimani,4,1,141.4000564349908,43673396.0,0
Kitengela,3,1,254.21826462369776,35276072.0,1
Embakasi,3,3,40.23845646395617,26806098.0,0
Kileleshwa,2,2,102.92938173964667,42096804.0,0
Athi River,1,1,20.0,9145493.0,1
Thika,3,1,101.94388242179201,19337800.0,1
Kileleshwa,2,4,158.56302915788902,35671318.0,0
Thika,1,3,163.238353881436,25406054.0,1
Ruiru,3,2,124.6418238170458,29800223.0,1
Syokimau,1,2,173.35580548553855,32878986.0,1
Syokimau,2,2,272.7632721565675,37474111.0,1
Kitengela,2,2,222.73828124625595,23036738.0,1
Kilimani,1,4,88.64874423542179,52778322.0,0
Rongai,5,1,32.93376081199568,30289210.0,1
Ruiru,1,2,95.63091500557178,18171350.0,1
Kilimani,1,2,63.18103406295911,42298006.0,0
Westlands,1,2,147.08085287187797,43036264.0,0
Syokimau,3,2,49.12838763423011,26677301.0,1
Athi River,2,2,115.63065404457947,30002061.0,1
Westlands,2,1,170.28084327217863,73460098.0,0
Kitengela,1,2,113.95824763096938,27833782.0,1
Kileleshwa,1,1,63.22117063513222,38823582.0,0
Syokimau,2,1,190.4888434551415,29381907.0,1
Kilimani,3,1,20.0,41975292.0,0
Athi River,4,3,100.33229664735221,34363901.0,1
Ruiru,1,2,117.50039859711991,25148122.0,1
Parklands,2,2,120.95451950397786,32127589.0,0
Kilimani,4,3,130.82976336468488,32140994.0,0
Ruiru,2,2,156.6263891885696,31789688.0,1
Kilimani,3,2,117.87555365727894,47638846.0,0
Lavington,1,2,97.91650307137915,38660699.0,0
Karen,4,2,95.54463932041827,67222877.0,0
Kileleshwa,3,2,83.30905187769872,37235103.0,0
Athi River,4,2,167.25259945961193,29545000.0,1
Ngong,3,3,81.20829123140913,24478558.0,1
Kitengela,2,3,170.80626654049468,26537053.0,1
Kitengela,4,1,121.13994493559225,30427703.0,1
Kileleshwa,2,1,88.72471158863223,48518520.0,0
Kilimani,2,2,157.1044329446481,35377469.0,0
Karen,3,2,76.35276451661291,58526986.0,0
Lavington,3,1,158.2910424436928,52150412.0,0
Syokimau,4,3,132.7635672715071,32611139.0,1
Ruiru,1,1,84.22051865448475,27845491.0,1
Ruiru,3,4,151.71808892007354,30382535.0,1
Thika,3,3,152.79538354131833,29746431.0,1
Karen,1,3,189.45117634859747,63986313.0,0
Karen,2,1,177.96882074455775,51158922.0,0
Thika,2,1,149.47644124357697,26998091.0,1
Syokimau,2,2,52.34454292747421,23382488.0,1
Kilimani,5,1,266.9152192904434,54363817.0,0
Kilimani,3,2,35.783027335691386,38629623.0,0
Karen,3,2,176.95579045693853,63845089.0,0
Syokimau,5,1,145.87702901317792,34345669.0,1
Westlands,2,1,49.55145765113312,49066153.0,0
Kilimani,3,3,112.54194366729006,44968995.0,0
Athi River,2,1,115.27482682532157,16818933.0,1
Westlands,4,1,198.33496294863141,56267552.0,0
Kilimani,1,2,77.20134598318731,40872946.0,0
Kitengela,4,4,104.28329961453876,29583093.0,1
Athi River,1,2,20.0,16303201.0,1
Athi River,2,1,224.08576758741464,22982625.0,1
Kileleshwa,3,2,55.771905418795725,44196578.0,0
Athi River,2,4,139.61465185435048,24559032.0,1
Kileleshwa,3,3,113.91553021668817,43640931.0,0
Ruiru,2,2,114.1199419929996,25202662.0,1
Thika,3,2,168.5917190922525,27895725.0,1
Syokimau,1,2,220.27574761821808,28682050.0,1
Rongai,1,1,135.0896201965195,18752024.0,1
Athi River,2,2,159.30468105783154,29520091.0,1
Kitengela,2,3,139.73349220362246,23731433.0,1
Kilimani,1,4,181.0518854358376,47046277.0,0
Ruiru,2,1,92.22501723082037,27713730.0,1
Kileleshwa,2,1,184.52343326498482,39035675.0,0
Kileleshwa,1,2,186.62999193884303,32518654.0,0
South B,2,3,184.9522205209746,55320789.0,0
Ruiru,4,3,80.39112795981144,25061969.0,1
Karen,1,1,109.89974194576855,58477900.0,0
Syokimau,2,1,134.3680193268261,39858059.0,1
Ngong,3,2,37.74947731025965,25924281.0,1
Kitengela,2,2,215.69521248516088,28934948.0,1
Syokimau,3,3,119.26340798986945,29067678.0,1
Kitengela,2,2,137.0356732562833,22380385.0,1
Kilimani,2,3,85.37973361636782,49722669.0,0
Thika,1,2,40.387346437978636,20616762.0,1
Kileleshwa,3,3,83.75820687151375,36501728.0,0
Westlands,3,2,133.1522512580153,40494577.0,0
Syokimau,1,3,160.40572876522162,20983893.0,1
Kilimani,2,1,129.70749243616322,53262463.0,0
Parklands,5,2,140.80344097451703,45612460.0,0
South B,2,1,99.7784175191174,34407342.0,0
Lavington,2,2,149.77491397472568,40507996.0,0
Ruiru,4,2,208.96997198315444,24365401.0,1
Westlands,3,1,162.28736654633923,62743829.0,0
Lavington,2,4,168.5725132951764,49844212.0,0
Ruiru,3,1,137.64098395839787,34713331.0,1
South B,4,3,29.81069582402388,29982700.0,0
South B,2,4,57.320008162125404,29404076.0,0
Rongai,2,1,147.2925480398306,28983135.0,1
Kileleshwa,2,2,119.34365688239485,46967630.0,0
Ruiru,5,1,146.39057318836967,38054674.0,1
Rongai,3,1,220.5854050706444,28726814.0,1
Ruiru,1,2,163.56215995376002,31080008.0,1
Kilimani,4,4,195.5331723445693,62039931.0,0
Kitengela,2,1,125.6808833682438,25733277.0,1
Parklands,1,2,71.56705935093362,31475887.0,0
Athi River,2,2,116.52803044713954,31493519.0,1
Syokimau,2,3,71.71489117685172,22236848.0,1
Kilimani,4,1,213.49769740634687,58180509.0,0
Syokimau,1,2,167.42346459212817,28533829.0,1
Embakasi,3,2,151.23074979769677,20252852.0,0
Kilimani,2,2,194.15659213368622,58476384.0,0
Kitengela,1,4,20.0,8744370.0,1
Karen,5,3,155.28827708055957,36349950.0,0
Thika,2,1,41.361252941737646,22184561.0,1
Athi River,2,2,119.56465809206033,27611294.0,1
Athi River,2,2,101.29754445196713,20996221.0,1
Ruiru,4,2,159.70419672581687,32930833.0,1
Kileleshwa,2,2,133.69123733765733,20580251.0,0
Ngong,1,2,200.7070304167073,31428715.0,1
Ngong,1,2,83.8861703440432,22777832.0,1
Rongai,2,4,162.54686337799703,25888837.0,1
Lavington,3,1,129.7333930139299,49190860.0,0
Kitengela,2,4,21.88258379570685,23175082.0,1
Kitengela,1,2,64.88301248861805,21618462.0,1
Ngong,1,2,111.0073179886699,14410832.0,1
Syokimau,2,3,186.73754699350366,45102116.0,1
Athi River,4,2,147.82338345342686,36449757.0,1
Ngong,2,2,49.949950567157146,15972878.0,1
Karen,5,2,111.58102631717041,54070002.0,0
Ruiru,2,2,241.0683869275818,31493071.0,1
Ruiru,1,4,126.67340009045148,31407798.0,1
Kilimani,4,3,100.36046549565626,26144965.0,0
Syokimau,2,1,149.50437844537322,26533543.0,1
Westlands,3,1,165.8035847749182,34201316.0,0
Kitengela,5,2,92.62989915119645,27470443.0,1
Kitengela,1,1,150.15448646228623,23549989.0,1
Kileleshwa,1,2,100.26663019975145,39127188.0,0
Syokimau,3,1,163.1596561097663,27828162.0,1
Westlands,2,2,130.18158947827703,42072584.0,0
Westlands,1,1,148.91806962317352,55011834.0,0
Rongai,1,2,74.44898722994974,22061368.0,1
Ruiru,1,2,70.72281695562845,25576558.0,1
Kilimani,3,2,176.7298382795637,46626345.0,0
Kitengela,1,4,115.23621711687038,21487528.0,1
Thika,2,3,137.1020845259617,24264286.0,1
Kileleshwa,3,2,101.61627437480882,45748559.0,0
Syokimau,2,1,173.92360644081865,17332415.0,1
Kilimani,1,3,83.53140119822054,43882794.0,0
