iter	RMSE
0	9402801.475
1	7664771.732
2	6619199.176
3	5841703.73
4	5418830.193
5	5063271.819
6	4711502.293
7	4456021.591
8	4242004.544
9	4033250.398
10	3902827.506
11	3757635.264
12	3674597.753
13	3593492.43
14	3465667.748
15	3397403.663
16	3282182.976
17	3209789.238
18	3151117.747
19	3098471.823
20	2971682.084
21	2892311.539
22	2816077.893
23	2747613.176
24	2723944.267
25	2650035.848
26	2599231.585
27	2507210.051
28	2441845.691
29	2401027.549
30	2336016.532
31	2294524.483
32	2260777.468
33	2226587.107
34	2188528.635
35	2142272.292
36	2107659.471
37	2061534.86
38	2013229.924
39	1969251.011
40	1950916.52
41	1919145.468
42	1882275.519
43	1855964.5
44	1836822.593
45	1804652.318
46	1776425.507
47	1750395.314
48	1729599.668
49	1701718.563
50	1679881.825
51	1656388.295
52	1621966.574
53	1613648.392
54	1591312.038
55	1564236.193
56	1544078.266
57	1534443.221
58	1513232.597
59	1497701.297
60	1476905.996
61	1460231.994
62	1448584.063
63	1434463.837
64	1422969.567
65	1407892.303
66	1394713.791
67	1380181.735
68	1374244.114
69	1359106.985
70	1341066.254
71	1325449.347
72	1313548.079
73	1301881.316
74	1285133.431
75	1276064.799
76	1261075.463
77	1252427.537
78	1240131.818
79	1229791.802
80	1219444.906
81	1206258.636
82	1195782.181
83	1184425.42
84	1177376.706
85	1169206.329
86	1161556.313
87	1147361.428
88	1139155.591
89	1129761.68
90	1122264.653
91	1115459.69
92	1103315.616
93	1092067.512
94	1086116.973
95	1080846.214
96	1072287.586
97	1059139.582
98	1055140.935
99	1049712.605
