iter	Passed	Remaining
0	12	1268
1	21	1066
2	31	1003
3	39	947
4	43	820
5	46	733
6	50	677
7	54	631
8	58	594
9	62	561
10	65	532
11	69	508
12	72	487
13	76	470
14	79	453
15	83	437
16	87	428
17	92	420
18	96	413
19	101	405
20	105	397
21	110	391
22	115	385
23	119	378
24	124	373
25	128	366
26	132	359
27	137	353
28	141	347
29	147	343
30	153	340
31	161	342
32	165	336
33	170	330
34	175	326
35	179	319
36	184	313
37	189	309
38	194	304
39	199	298
40	204	294
41	209	289
42	213	283
43	218	278
44	222	272
45	226	266
46	230	259
47	233	253
48	237	247
49	241	241
50	244	234
51	248	229
52	252	223
53	255	217
54	258	211
55	262	206
56	266	201
57	270	195
58	273	190
59	276	184
60	280	179
61	284	174
62	287	169
63	291	163
64	294	158
65	298	154
66	305	150
67	310	145
68	314	141
69	317	136
70	322	131
71	325	126
72	329	121
73	333	117
74	337	112
75	340	107
76	345	103
77	348	98
78	352	93
79	356	89
80	360	84
81	365	80
82	368	75
83	372	70
84	375	66
85	379	61
86	383	57
87	386	52
88	390	48
89	394	43
90	398	39
91	402	35
92	406	30
93	410	26
94	413	21
95	417	17
96	420	13
97	425	8
98	428	4
99	432	0
